148,ACTIVIDENTITY CORP,10-K/A,1183941,2010-01-28,https://www.sec.gov/Archives/edgar/data/1183941/0001104659-10-003691-index.htm
149,ACTIVIDENTITY CORP,10-Q,1183941,2010-02-09,https://www.sec.gov/Archives/edgar/data/1183941/0001104659-10-005751-index.htm
6,11:11 Capital Corp.,13F-HR,1463262,2010-02-04,https://www.sec.gov/Archives/edgar/data/1463262/0001463262-10-000001-index.htm
7,1346049 ONTARIO LTD,13F-HR,1230588,2010-01-25,https://www.sec.gov/Archives/edgar/data/1230588/0001085146-10-000041-index.htm
10,"1607 Capital Partners, LLC",13F-HR,1436866,2010-02-16,https://www.sec.gov/Archives/edgar/data/1436866/0001172661-10-000113-index.htm
11,1798 Global Partners (Cayman Islands) Ltd.,13F-HR,1427790,2010-02-16,https://www.sec.gov/Archives/edgar/data/1427790/0000902664-10-000833-index.htm
13,1ST SOURCE BANK,13F-HR,356264,2010-02-03,https://www.sec.gov/Archives/edgar/data/356264/0000034782-10-000005-index.htm
6,11:11 Capital Corp.,13F-HR,1463262,2010-02-04,https://www.sec.gov/Archives/edgar/data/1463262/0001463262-10-000001-index.htm
7,1346049 ONTARIO LTD,13F-HR,1230588,2010-01-25,https://www.sec.gov/Archives/edgar/data/1230588/0001085146-10-000041-index.htm
6,11:11 Capital Corp.,13F-HR,1463262,2010-02-04,https://www.sec.gov/Archives/edgar/data/1463262/0001463262-10-000001-index.htm
7,1346049 ONTARIO LTD,13F-HR,1230588,2010-01-25,https://www.sec.gov/Archives/edgar/data/1230588/0001085146-10-000041-index.htm
10,"1607 Capital Partners, LLC",13F-HR,1436866,2010-02-16,https://www.sec.gov/Archives/edgar/data/1436866/0001172661-10-000113-index.htm
11,1798 Global Partners (Cayman Islands) Ltd.,13F-HR,1427790,2010-02-16,https://www.sec.gov/Archives/edgar/data/1427790/0000902664-10-000833-index.htm
13,1ST SOURCE BANK,13F-HR,356264,2010-02-03,https://www.sec.gov/Archives/edgar/data/356264/0000034782-10-000005-index.htm
6,11:11 Capital Corp.,13F-HR,1463262,2010-02-04,https://www.sec.gov/Archives/edgar/data/1463262/0001463262-10-000001-index.htm
7,1346049 ONTARIO LTD,13F-HR,1230588,2010-01-25,https://www.sec.gov/Archives/edgar/data/1230588/0001085146-10-000041-index.htm
6,11:11 Capital Corp.,13F-HR,1463262,2010-02-04,https://www.sec.gov/Archives/edgar/data/1463262/0001463262-10-000001-index.htm
7,1346049 ONTARIO LTD,13F-HR,1230588,2010-01-25,https://www.sec.gov/Archives/edgar/data/1230588/0001085146-10-000041-index.htm
13620,TOOTSIE ROLL INDUSTRIES INC,DEF 14A,98677,2010-03-26,https://www.sec.gov/Archives/edgar/data/98677/0001047469-10-002753-index.htm
13622,TOPSPIN MEDICAL INC,10-K,1211805,2010-03-23,https://www.sec.gov/Archives/edgar/data/1211805/0000950123-10-027127-index.htm
13629,TORO CO,10-Q,737758,2010-03-05,https://www.sec.gov/Archives/edgar/data/737758/0000737758-10-000005-index.htm
13632,TOROTEL INC,10-Q,98752,2010-03-16,https://www.sec.gov/Archives/edgar/data/98752/0001104659-10-014490-index.htm
13634,TORTOISE CAPITAL ADVISORS LLC,13F-HR,1280965,2010-02-10,https://www.sec.gov/Archives/edgar/data/1280965/0001347652-10-000005-index.htm
13641,TORTUGA MEXICAN IMPORTS INC,10-Q,1213106,2010-01-19,https://www.sec.gov/Archives/edgar/data/1213106/0001062993-10-000163-index.htm
13645,TOTAL SYSTEM SERVICES INC,10-K,721683,2010-03-01,https://www.sec.gov/Archives/edgar/data/721683/0000950123-10-018902-index.htm
21722,FIRST COMMUNITY BANK CORP OF AMERICA,10-Q,1082564,2010-05-18,https://www.sec.gov/Archives/edgar/data/1082564/0001193125-10-122932-index.htm
21729,FIRST DATA CORP,10-Q,883980,2010-05-14,https://www.sec.gov/Archives/edgar/data/883980/0001193125-10-119241-index.htm
29594,S&T BANCORP INC,10-Q,719220,2010-05-06,https://www.sec.gov/Archives/edgar/data/719220/0001193125-10-110820-index.htm
44169,Poplar Forest Capital LLC,13F-HR,1454949,2010-08-12,https://www.sec.gov/Archives/edgar/data/1454949/0001399490-10-000017-index.htm
44810,"Regatta Capital Partners, Inc.",10-Q,1029356,2010-08-12,https://www.sec.gov/Archives/edgar/data/1029356/0001079973-10-000850-index.htm
44827,"Research Affiliates, LLC",13F-HR,1337848,2010-08-12,https://www.sec.gov/Archives/edgar/data/1337848/0001337848-10-000006-index.htm
50963,COMPASS MINERALS INTERNATIONAL INC,10-Q,1227654,2010-10-27,https://www.sec.gov/Archives/edgar/data/1227654/0001140361-10-042408-index.htm
54726,ICAHN CARL C,13F-HR,921669,2010-11-15,https://www.sec.gov/Archives/edgar/data/921669/0001140361-10-045743-index.htm
58732,Perennial Investment Partners LTD,13F-HR,1390271,2010-11-15,https://www.sec.gov/Archives/edgar/data/1390271/0001390271-10-000013-index.htm
66359,Carolina Energy Hedging Ltd Co,13F-HR,1454335,2011-01-20,https://www.sec.gov/Archives/edgar/data/1454335/0001454335-11-000002-index.htm
71543,MERCURY COMPUTER SYSTEMS INC,10-Q,1049521,2011-02-03,https://www.sec.gov/Archives/edgar/data/1049521/0001193125-11-023313-index.htm
77527,WELLS FARGO & CO/MN,10-K,72971,2011-02-25,https://www.sec.gov/Archives/edgar/data/72971/0000950123-11-018541-index.htm
77534,WELLS REAL ESTATE FUND VIII LP,10-K,929920,2011-03-22,https://www.sec.gov/Archives/edgar/data/929920/0001193125-11-073689-index.htm
77538,WELLS REAL ESTATE FUND XIII L P,10-K,1127245,2011-03-22,https://www.sec.gov/Archives/edgar/data/1127245/0001193125-11-073707-index.htm
77544,WENTWORTH HAUSER & VIOLICH,13F-HR,105692,2011-02-14,https://www.sec.gov/Archives/edgar/data/105692/0001172661-11-000138-index.htm
77547,"WES Consulting, Inc.",10-Q,1374567,2011-02-14,https://www.sec.gov/Archives/edgar/data/1374567/0001144204-11-008219-index.htm
